pc,beta,pos_contrib,neg_contrib,pos_frac,neg_frac,best_tissue
PC68,-0.035333640205267,6.89890363933106e-06,-9.75760344755743e-06,0.000215655036106397,0.000379284066109163,heart left ventricle
PC69,-0.00510817303021651,3.82430925421837e-07,-2.08747242717786e-07,1.1954530653228e-05,8.11413411424273e-06,endothelial cell of umbilical vein
PC70,0.097095742915102,0.000107496373909628,-0.000158329079432778,0.00336026354457612,0.00615434900109792,testis
PC71,0.0471030719295858,7.58315556448312e-06,-2.23364603539863e-05,0.000237044285955211,0.000868231994780108,trophoblast cell
PC72,0.0176299248161345,1.00137063451197e-05,-6.71940219392586e-06,0.000313021650440828,0.000261187308915797,dermis blood vessel endothelial cell
PC73,0.00955901312884848,1.03039537675466e-06,-3.80362891470631e-07,3.22094587480624e-05,1.47849402621637e-05,upper lobe of left lung
PC74,0.0812042756473231,8.05971276794016e-05,-8.00243711233796e-05,0.00251941140048429,0.00311059667782481,frontal cortex
PC75,0.0260637608313641,7.35017620810905e-06,-6.80257800610709e-06,0.000229761509714584,0.000264420404051871,occipital lobe
PC76,-0.0117075053776381,-2.18095937172776e-06,-2.94288777587934e-06,-6.81753067799249e-05,0.000114391863508029,upper lobe of left lung
PC77,0.0155937427952604,7.8535297526681e-06,-2.72246708177988e-06,0.000245495999207568,0.000105823975136467,brain
PC78,-0.0509721261478468,2.40064675298645e-05,-4.26580400916384e-05,0.000750425849177678,0.00165814433689191,forelimb muscle
PC79,-0.0806380827801324,6.95097485376639e-05,-7.87124203638702e-05,0.00217282746858166,0.00305960034237461,tibial nerve
PC80,-0.0491950549433342,8.49045577496459e-06,-3.65342028430509e-05,0.000265405873517506,0.00142010700484431,dermis blood vessel endothelial cell
PC81,-0.024843997848577,1.42212025019594e-05,-3.68804240304266e-07,0.000444545118959483,1.43356483600406e-05,adrenal gland
PC82,0.00778410948342865,-1.88166649452796e-06,-4.48244994802614e-06,-5.88196149753692e-05,0.000174235594995792,right atrium auricular region
PC83,0.0343681795070484,1.28075758005818e-05,-1.53399098644473e-05,0.000400356109623486,0.000596271760622949,natural killer cell
PC84,0.0670332982254028,5.67554062858781e-05,-7.9184852545129e-05,0.0017741354034916,0.0030779640727344,trophoblast cell
PC85,-0.00486787474910552,-4.16672783581766e-07,-8.36375276119147e-07,-1.30249078528356e-05,3.2510422997263e-05,left renal cortex interstitium
PC86,0.0646281270531269,5.82636291827923e-05,-3.39372350284374e-05,0.00182128142556912,0.00131916126365129,urinary bladder
PC87,-0.000464853345328539,-4.52296753938977e-08,6.08397682560509e-08,-1.41384889398128e-06,-2.36487932813775e-06,right forelimb
PC88,0.0101440632001045,-3.00726220984124e-06,-2.2201417641676e-06,-9.40049715649603e-05,8.62982801235939e-05,forelimb muscle
PC89,0.0452676552034383,1.6230280886279e-05,-4.02082689149838e-05,0.000507347542962183,0.00156292021983157,femur
PC90,0.0305127389704418,8.83635707414304e-07,-3.80700144593755e-06,2.76218512896654e-05,0.00014798049499133,tibial nerve
PC91,0.0341950963795803,1.04977285479699e-05,-1.00924781831596e-05,0.000328151855338441,0.000392300853688107,right atrium auricular region
PC92,-0.0497277022118016,2.72816489064998e-05,-2.78181232239765e-05,0.000852805791695875,0.00108130761253233,cerebellum
PC93,0.0463783427323501,3.39787298228445e-05,-5.00056709968247e-05,0.00106215198673301,0.00194375128340971,B cell
PC94,0.0356058953765263,2.16883413005643e-05,-1.68859446226049e-05,0.000677962799711548,0.000656367085522315,upper lobe of left lung
PC95,-0.028941305380593,5.95724873928061e-06,-1.20835727822546e-05,0.00018621954431138,0.000469695929191178,left lung
PC96,-0.0368718672856661,3.46711461608995e-05,-1.50256284708941e-05,0.00108379645057689,0.000584055448954828,forelimb muscle
PC97,-0.0784179674332478,4.48095360107501e-05,-9.30523663386803e-05,0.00140071562258351,0.00361700288966435,occipital lobe
PC98,0.0689614311436725,3.35786194587211e-05,-5.71063170104139e-05,0.00104964480884902,0.00221975777481002,brain
PC99,0.034696238582114,1.05207325528618e-05,-2.06990448599292e-05,0.000328870944887288,0.000804584644297588,endothelial cell of umbilical vein
PC100,-0.120079595333659,0.000134651921617136,-0.000186157050766673,0.00420912749854771,0.00723603941573872,CD14-positive monocyte
